Allocated 943992832, Freeing 752719687, ratio 0.797379
Allocated 943992832, Freeing 752718806, ratio 0.797378
Allocated 944001024, Freeing 752726998, ratio 0.797379
Allocated 944001024, Freeing 752726837, ratio 0.797379
Allocated 944005120, Freeing 752728443, ratio 0.797378
Allocated 944005120, Freeing 752727969, ratio 0.797377
Allocated 944005120, Freeing 752726958, ratio 0.797376
Allocated 944005120, Freeing 752726490, ratio 0.797375
Allocated 944005120, Freeing 752724380, ratio 0.797373
Allocated 944005120, Freeing 752723920, ratio 0.797373
Allocated 944009216, Freeing 752724086, ratio 0.797369
Allocated 944009216, Freeing 752723947, ratio 0.797369
Allocated 944013312, Freeing 752724036, ratio 0.797366
Allocated 944013312, Freeing 752723641, ratio 0.797365
Allocated 944017408, Freeing 752725517, ratio 0.797364
Allocated 944017408, Freeing 752724554, ratio 0.797363
Allocated 944025600, Freeing 752732746, ratio 0.797365
Allocated 944033792, Freeing 752740938, ratio 0.797367
Allocated 944037888, Freeing 752744184, ratio 0.797366
Allocated 944037888, Freeing 752743729, ratio 0.797366
Allocated 944046080, Freeing 752751921, ratio 0.797368
Allocated 944046080, Freeing 752751587, ratio 0.797367
Allocated 944054272, Freeing 752759779, ratio 0.797369
Allocated 944054272, Freeing 752758680, ratio 0.797368
Allocated 944062464, Freeing 752766872, ratio 0.797370
Allocated 944062464, Freeing 752766754, ratio 0.797370
Allocated 944062464, Freeing 752766834, ratio 0.797370
Allocated 944062464, Freeing 752766802, ratio 0.797370
Allocated 944066560, Freeing 752767202, ratio 0.797367
Allocated 944066560, Freeing 752766630, ratio 0.797366
Allocated 944066560, Freeing 752765745, ratio 0.797365
Allocated 944066560, Freeing 752765499, ratio 0.797365
Allocated 944074752, Freeing 752773691, ratio 0.797367
Allocated 944074752, Freeing 752773434, ratio 0.797366
Allocated 944074752, Freeing 752772865, ratio 0.797366
Allocated 944074752, Freeing 752771121, ratio 0.797364
Allocated 944082944, Freeing 752779209, ratio 0.797366
Allocated 944091136, Freeing 752787401, ratio 0.797367
Allocated 944099328, Freeing 752795593, ratio 0.797369
Allocated 944099328, Freeing 752795074, ratio 0.797369
Allocated 944103424, Freeing 752797381, ratio 0.797367
Allocated 944103424, Freeing 752797217, ratio 0.797367
Allocated 944103424, Freeing 752796796, ratio 0.797367
Allocated 944103424, Freeing 752795139, ratio 0.797365
Allocated 944103424, Freeing 752794935, ratio 0.797365
Allocated 944111616, Freeing 752803127, ratio 0.797367
Allocated 944119808, Freeing 752811319, ratio 0.797368
Allocated 944119808, Freeing 752811169, ratio 0.797368
Allocated 944128000, Freeing 752819361, ratio 0.797370
Allocated 944136192, Freeing 752827553, ratio 0.797372
Allocated 944136192, Freeing 752827483, ratio 0.797372
Allocated 944140288, Freeing 752827580, ratio 0.797368
Allocated 944148480, Freeing 752835772, ratio 0.797370
Allocated 944152576, Freeing 752835882, ratio 0.797367
Allocated 944152576, Freeing 752835646, ratio 0.797367
Allocated 944152576, Freeing 752834592, ratio 0.797365
Allocated 944160768, Freeing 752842784, ratio 0.797367
Allocated 944168960, Freeing 752850976, ratio 0.797369
Allocated 944168960, Freeing 752850832, ratio 0.797369
Allocated 944168960, Freeing 752850807, ratio 0.797369
Allocated 944168960, Freeing 752850663, ratio 0.797369
Allocated 944177152, Freeing 752858855, ratio 0.797370
Allocated 944177152, Freeing 752858603, ratio 0.797370
Allocated 944177152, Freeing 752858186, ratio 0.797370
Allocated 944177152, Freeing 752857817, ratio 0.797369
Allocated 944181248, Freeing 752858689, ratio 0.797367
Allocated 944181248, Freeing 752858609, ratio 0.797367
Allocated 944189440, Freeing 752866801, ratio 0.797368
Allocated 944189440, Freeing 752866222, ratio 0.797368
Allocated 944189440, Freeing 752864886, ratio 0.797366
Allocated 944197632, Freeing 752873078, ratio 0.797368
Allocated 944201728, Freeing 752873758, ratio 0.797365
Allocated 944201728, Freeing 752873541, ratio 0.797365
Allocated 944201728, Freeing 752873370, ratio 0.797365
Allocated 944205824, Freeing 752876505, ratio 0.797365
Allocated 944205824, Freeing 752875782, ratio 0.797364
Allocated 944205824, Freeing 752875627, ratio 0.797364
Allocated 944205824, Freeing 752874999, ratio 0.797363
Allocated 944205824, Freeing 752873067, ratio 0.797361
Allocated 944209920, Freeing 752875321, ratio 0.797360
Allocated 944209920, Freeing 752875060, ratio 0.797360
Allocated 944209920, Freeing 752874300, ratio 0.797359
Allocated 944214016, Freeing 752875281, ratio 0.797357
Allocated 944214016, Freeing 752873038, ratio 0.797354
Allocated 944214016, Freeing 752872424, ratio 0.797354
Allocated 944214016, Freeing 752872319, ratio 0.797353
Allocated 944222208, Freeing 752880511, ratio 0.797355
Allocated 944230400, Freeing 752888703, ratio 0.797357
Allocated 944230400, Freeing 752888211, ratio 0.797356
Allocated 944230400, Freeing 752887975, ratio 0.797356
Allocated 944238592, Freeing 752896167, ratio 0.797358
Allocated 944242688, Freeing 752899683, ratio 0.797358
Allocated 944242688, Freeing 752899097, ratio 0.797358
Allocated 944242688, Freeing 752898900, ratio 0.797357
Allocated 944242688, Freeing 752897773, ratio 0.797356
Allocated 944250880, Freeing 752905965, ratio 0.797358
Allocated 944250880, Freeing 752905284, ratio 0.797357
Allocated 944254976, Freeing 752907473, ratio 0.797356
Allocated 944254976, Freeing 752907365, ratio 0.797356
Allocated 944263168, Freeing 752915557, ratio 0.797358
Allocated 944263168, Freeing 752915396, ratio 0.797358
Allocated 944271360, Freeing 752923588, ratio 0.797359
Allocated 944271360, Freeing 752922561, ratio 0.797358
Allocated 944279552, Freeing 752930753, ratio 0.797360
Allocated 944283648, Freeing 752932435, ratio 0.797358
Allocated 944283648, Freeing 752932342, ratio 0.797358
Allocated 944283648, Freeing 752932101, ratio 0.797358
